show_name,watchtime_hrs,views,num_2025_videos,FeatureCountry,genre,unified_genre
The MeidasTouch Podcast,113385942.4,1002173119,1322,US,News & Politics,News & Politics
The Joe Rogan Experience,240131219.3,395225451,137,US,Interview & Talk,Interview & Talk
Good Mythical Morning with Rhett & Link,99778476.22,381450223,156,US,Comedy & Entertainment,Comedy
Rotten Mango,141625962.5,272173696,50,US,True Crime,True Crime
48 Hours,96419436.41,243134227,90,US,True Crime,True Crime
Law&Crime Sidebar with Jesse Weber,37579260.83,220134599,615,US,News & Law,News & Politics
The Why Files: Operation Podcast,81943499.81,209603521,29,US,Mystery & Conspiracy,Mystery & Paranormal
The Luke Beasley Show,19389386.18,208037065,825,US,News & Politics,News & Politics
IHIP News,22264451.46,201783961,621,US,News,News & Politics
Dr. Insanity Podcasts,55279235.13,201575840,18,US,Comedy & Entertainment,Comedy
Brian Tyler Cohen,19537519.55,201159210,357,US,News & Politics,News & Politics
The DeVory Darkins Show,27777119.82,194946848,402,US,News & Politics,News & Politics
FULL SURAHS,79571334.36,174158679,969,US,Religion & Spirituality,Religion & Spirituality
A Closer Look - Late Night with Seth Meyers,24771454.43,166421660,75,US,Comedy & Entertainment,Comedy
Breaking Points,22995639.5,162855764,967,US,News & Politics,News & Politics
Farron Balanced,7872188.807,158085038,947,US,News & Politics,News & Politics
KILL TONY,105185733.4,150339482,38,US,Comedy & Live Show,
Smosh Reads Reddit Stories,77322039.13,148131763,34,US,Comedy & Entertainment,Comedy
Bulwark Takes,17426777.93,143765969,809,US,News & Politics,News & Politics
Legal AF Podcast,20720722.55,142645391,393,US,News & Law,News & Politics
کلیپ کوتاه استند آپ کمدی‌های مکس امینی,3306153.16,141100170,138,US,Comedy,Comedy
The Adam Mockler Show,9586971.686,139351087,444,US,News & Politics,News & Politics
Financial Audit,59787689.52,139346809,102,US,Business & Finance,Business & Finance
This Past Weekend w/ Theo Von,63668239.37,136577859,59,US,Comedy & Interview,Comedy
NBC Nightly News with Tom Llamas,24717134.42,134574604,230,US,News,News & Politics
The Ramsey Show Highlights,11868105.36,130121916,709,US,Business & Finance,Business & Finance
The Tucker Carlson Show,47835211.41,122694814,109,US,News & Politics,News & Politics
Timcast News Stories,14925554.34,122137371,687,US,News & Politics,News & Politics
ROF Daily Updates,5099524.079,119373193,889,US,News,News & Politics
"Подкасты - Мировая политика: США, Китай, Россия, Украина",42636875.58,117885569,140,US,News & Politics,
Shawn Ryan Show,74165036.22,116621019,80,US,Interview & Military,Interview & Talk
Caso Cerrado - Pleitos familiares con escándalo,30300292.61,116510234,152,US,Entertainment & Lifestyle,Pop Culture & Entertainment
The Philip DeFranco Show (Every Mon-Tues-Wed-Thurs-Friday!),27321842.9,110670746,145,US,News & Commentary,News & Politics
The Intersection with Michael Popok,8669114.619,105141451,909,US,News & Law,News & Politics
Direito Estatal (Podcast),10249539.57,101286023,557,US,Education & Law,Education & Learning
Conan O'Brien Needs A Friend,12345654.64,99500107,148,US,Comedy & Interview,Comedy
Bulwark Super Feed,23733954.91,99025910,1076,US,News & Politics,News & Politics
Jack Cocchiarella Show,8361202.153,96093139,332,US,Sports & Commentary,Sports
#RolandMartinUnfiltered,16726862.51,94438163,628,US,News & Politics,News & Politics
All Videos,18637775.13,93937607,255,US,Miscellaneous,Other
The Young Turks,9690390.01,87145647,960,US,News & Politics,News & Politics
"Murder, Mystery & Makeup",44434751.59,84492007,19,US,True Crime & Beauty,
